GBA Memory Map and Registers

0x00000000,BOOT_ROM
0x00004000,BOOT_ROM_END
0x02000000,USR_BUF
0x02000000,WRAM
0x0200BF80,SYS_BUF
0x0200BF80,USR_BUF_END
0x0200BFFC,INTR_VECTOR_BUF
0x0200C000,SYS_BUF_END
0x0200C000,WRAM_END
0x04000000,REG_BASE
0x04000000,REG_DISPCNT
0x04000004,REG_STAT
0x04000006,REG_VCOUNT
0x04000008,REG_BG0CNT
0x04000008,REG_BGCNT
0x0400000A,REG_BG1CNT
0x0400000C,REG_BG2CNT
0x0400000E,REG_BG3CNT
0x04000010,REG_BG0HOFS
0x04000010,REG_BGOFS
0x04000012,REG_BG0VOFS
0x04000014,REG_BG1HOFS
0x04000016,REG_BG1VOFS
0x04000018,REG_BG2HOFS
0x0400001A,REG_BG2VOFS
0x0400001C,REG_BG3HOFS
0x0400001E,REG_BG3VOFS
0x04000020,REG_BG2AFFINE
0x04000020,REG_BG2PA
0x04000022,REG_BG2PB
0x04000024,REG_BG2PC
0x04000026,REG_BG2PD
0x04000028,REG_BG2X
0x04000028,REG_BG2X_L
0x0400002A,REG_BG2X_H
0x0400002C,REG_BG2Y
0x0400002C,REG_BG2Y_L
0x0400002E,REG_BG2Y_H
0x04000030,REG_BG3AFFINE
0x04000030,REG_BG3PA
0x04000032,REG_BG3PB
0x04000034,REG_BG3PC
0x04000036,REG_BG3PD
0x04000038,REG_BG3X
0x04000038,REG_BG3X_L
0x0400003A,REG_BG3X_H
0x0400003C,REG_BG3Y
0x0400003C,REG_BG3Y_L
0x0400003E,REG_BG3Y_H
0x04000040,REG_WIN0H
0x04000040,REG_WINCNT
0x04000042,REG_WIN1H
0x04000044,REG_WIN0V
0x04000046,REG_WIN1V
0x04000048,REG_WIN0
0x04000048,REG_WININ
0x04000049,REG_WIN1
0x0400004A,REG_WINOUT
0x0400004B,REG_OBJWIN
0x0400004C,REG_MOSAIC
0x04000050,REG_BLDCNT
0x04000052,REG_BLDALPHA
0x04000054,REG_BLDY
0x04000060,REG_SOUND1CNT
0x04000060,REG_SOUND1CNT_L
0x04000062,REG_SOUND1CNT_H
0x04000064,REG_SOUND1CNT_X
